Electric field distortions due to the shape of the CM; R,Z and Dist Int in cm
Source: Howard Wieman Dec 2000 - Done in MathCad on his laptop
33 steps in R   // This file is misnamed.  It is a copy of membrane_efield.dat
12 steps in Phi // and it is mistake.  But it must remain here for a while
69 steps in Z   // for backwards compatibility.  6/12/2001  JT
 179.5       5.236         -60    -0.01383   0.0002473 
 184.5       5.236         -60    -0.01417   0.0001888 
   199       5.236         -60    -0.01409  1.168e-005 
 199.3       5.236         -60    -0.01407  8.751e-006 
 199.5       5.236         -60    -0.01406  5.834e-006 
   202       5.236         -60           0           0 
 209.5       5.236         -60           0           0 
   212       5.236         -60           0           0 
 219.5       5.236         -60           0           0 
   222       5.236         -60           0           0 
  14.5        5.76         -60           0           0 
    17        5.76         -60           0           0 
  24.5        5.76         -60           0           0 
    27        5.76         -60           0           0 
  34.5        5.76         -60           0           0 
    37        5.76         -60           0           0 
  44.5        5.76         -60           0           0 
    47        5.76         -60           0           0 
    49        5.76         -60     0.02382 -8.939e-005 
    50        5.76         -60     0.02334  -0.0001734 
    51        5.76         -60     0.02286  -0.0002523 
  59.5        5.76         -60     0.01919  -0.0007585 
  64.5        5.76         -60     0.01723  -0.0009523 
  79.5        5.76         -60     0.01184   -0.001254 
  84.5        5.76         -60     0.01017   -0.001292 
  99.5        5.76         -60    0.005412   -0.001296 
 104.5        5.76         -60    0.003908   -0.001271 
 119.5        5.76         -60  -0.0004145   -0.001142 
 124.5        5.76         -60     -0.0018   -0.001085 
 139.5        5.76         -60   -0.005806  -0.0008889 
 144.5        5.76         -60   -0.007083  -0.0008165 
 159.5        5.76         -60    -0.01063  -0.0005876 
 164.5        5.76         -60    -0.01167  -0.0005095 
 179.5        5.76         -60    -0.01404  -0.0002793 
 184.5        5.76         -60     -0.0145  -0.0002061 
   199        5.76         -60    -0.01457 -1.217e-005 
 199.3        5.76         -60    -0.01455 -9.119e-006 
 199.5        5.76         -60    -0.01453 -6.078e-006 
   202        5.76         -60           0           0 
 209.5        5.76         -60           0           0 
   212        5.76         -60           0           0 
 219.5        5.76         -60           0           0 
   222        5.76         -60           0           0 
  14.5           0         -50           0           0 
    17           0         -50           0           0 
  24.5           0         -50           0           0 
    27           0         -50           0           0 
  34.5           0         -50           0           0 
    37           0         -50           0           0 
  44.5           0         -50           0           0 
    47           0         -50           0           0 
    49           0         -50     0.02542  -0.0002386 
    50           0         -50      0.0249   -0.000463 
    51           0         -50     0.02439  -0.0006741 
  59.5           0         -50     0.02036   -0.002049 
  64.5           0         -50     0.01818   -0.002599 
  79.5           0         -50     0.01217   -0.003561 
  84.5           0         -50     0.01032   -0.003725 
  99.5           0         -50    0.005218   -0.003918 
 104.5           0         -50    0.003643   -0.003904 
 119.5           0         -50  -0.0007812   -0.003685 
 124.5           0         -50   -0.002173   -0.003562 
 139.5           0         -50   -0.006148   -0.003069 
 144.5           0         -50   -0.007405   -0.002867 
 159.5           0         -50     -0.0109   -0.002171 
 164.5           0         -50    -0.01194   -0.001913 
 179.5           0         -50    -0.01434   -0.001094 
 184.5           0         -50    -0.01481  -0.0008155 
   199           0         -50     -0.0149 -4.882e-005 
 199.3           0         -50    -0.01489 -3.657e-005 
 199.5           0         -50    -0.01487 -2.436e-005 
   202           0         -50           0           0 
 209.5           0         -50           0           0 
   212           0         -50           0           0 
 219.5           0         -50           0           0 
   222           0         -50           0           0 
  14.5      0.5236         -50           0           0 
    17      0.5236         -50           0           0 
  24.5      0.5236         -50           0           0 
    27      0.5236         -50           0           0 
  34.5      0.5236         -50           0           0 
    37      0.5236         -50           0           0 
  44.5      0.5236         -50           0           0 
    47      0.5236         -50           0           0 
    49      0.5236         -50     0.01845  -0.0002905 
    50      0.5236         -50     0.01806  -0.0005638 
    51      0.5236         -50     0.01768  -0.0008211 
  59.5      0.5236         -50     0.01458   -0.002506 
  64.5      0.5236         -50     0.01284    -0.00319 
  79.5      0.5236         -50    0.008044   -0.004438 
  84.5      0.5236         -50    0.006597   -0.004669 
  99.5      0.5236         -50    0.002753   -0.005001 
 104.5      0.5236         -50    0.001632   -0.005015 
 119.5      0.5236         -50   -0.001311   -0.004822 
 124.5      0.5236         -50   -0.002173   -0.004689 
 139.5      0.5236         -50   -0.004492   -0.004102 
 144.5      0.5236         -50   -0.005195   -0.003849 
 159.5      0.5236         -50   -0.007132   -0.002941 
 164.5      0.5236         -50   -0.007713   -0.002597 
 179.5      0.5236         -50   -0.009116   -0.001488 
 184.5      0.5236         -50   -0.009407    -0.00111 
   199      0.5236         -50    -0.00947 -6.636e-005 
 199.3      0.5236         -50   -0.009459 -4.967e-005 
 199.5      0.5236         -50   -0.009449 -3.305e-005 
   202      0.5236         -50           0           0 
 209.5      0.5236         -50           0           0 
   212      0.5236         -50           0           0 
 219.5      0.5236         -50           0           0 
   222      0.5236         -50           0           0 
  14.5       1.047         -50           0           0 
    17       1.047         -50           0           0 
  24.5       1.047         -50           0           0 
    27       1.047         -50           0           0 
  34.5       1.047         -50           0           0 
    37       1.047         -50           0           0 
  44.5       1.047         -50           0           0 
    47       1.047         -50           0           0 
    49       1.047         -50     0.01196  -0.0001953 
    50       1.047         -50      0.0117   -0.000379 
    51       1.047         -50     0.01144  -0.0005519 
  59.5       1.047         -50    0.009157   -0.001678 
  64.5       1.047         -50    0.007811   -0.002128 
  79.5       1.047         -50    0.004015   -0.002908 
  84.5       1.047         -50    0.002883   -0.003038 
  99.5       1.047         -50  6.643e-006   -0.003179 
 104.5       1.047         -50  -0.0007702   -0.003163 
 119.5       1.047         -50   -0.002558   -0.002978 
 124.5       1.047         -50   -0.002978   -0.002879 
 139.5       1.047         -50   -0.003744    -0.00249 
 144.5       1.047         -50   -0.003844   -0.002332 
 159.5       1.047         -50   -0.003742   -0.001786 
 164.5       1.047         -50   -0.003598   -0.001581 
 179.5       1.047         -50   -0.002992  -0.0009163 
 184.5       1.047         -50   -0.002784  -0.0006859 
   199       1.047         -50   -0.002375 -4.116e-005 
 199.3       1.047         -50   -0.002372 -3.078e-005 
 199.5       1.047         -50   -0.002368 -2.045e-005 
   202       1.047         -50           0           0 
 209.5       1.047         -50           0           0 
   212       1.047         -50           0           0 
 219.5       1.047         -50           0           0 
   222       1.047         -50           0           0 
  14.5       1.571         -50           0           0 
    17       1.571         -50           0           0 
  24.5       1.571         -50           0           0 
    27       1.571         -50           0           0 
  34.5       1.571         -50           0           0 
    37       1.571         -50           0           0 
  44.5       1.571         -50           0           0 
    47       1.571         -50           0           0 
    49       1.571         -50    0.009289 -1.233e-005 
    50       1.571         -50    0.009085 -2.385e-005 
    51       1.571         -50    0.008877 -3.456e-005 
  59.5       1.571         -50    0.007037 -9.254e-005 
  64.5       1.571         -50    0.005943  -0.0001006 
  79.5       1.571         -50    0.002922 -2.942e-005 
  84.5       1.571         -50    0.002055  1.951e-005 
  99.5       1.571         -50 -2.988e-005   0.0002143 
 104.5       1.571         -50  -0.0005539   0.0002889 
 119.5       1.571         -50    -0.00167   0.0005137 
 124.5       1.571         -50   -0.001912   0.0005823 
 139.5       1.571         -50   -0.002354    0.000739 
 144.5       1.571         -50   -0.002436   0.0007677 
 159.5       1.571         -50   -0.002589   0.0007557 
 164.5       1.571         -50    -0.00263   0.0007146 
 179.5       1.571         -50   -0.002746   0.0004796 
 184.5       1.571         -50   -0.002771   0.0003707 
   199       1.571         -50   -0.002718  2.331e-005 
 199.3       1.571         -50   -0.002715  1.746e-005 
 199.5       1.571         -50   -0.002712  1.163e-005 
   202       1.571         -50           0           0 
 209.5       1.571         -50           0           0 
   212       1.571         -50           0           0 
 219.5       1.571         -50           0           0 
   222       1.571         -50           0           0 
  14.5       2.094         -50           0           0 
    17       2.094         -50           0           0 
  24.5       2.094         -50           0           0 
    27       2.094         -50           0           0 
  34.5       2.094         -50           0           0 
    37       2.094         -50           0           0 
  44.5       2.094         -50           0           0 
    47       2.094         -50           0           0 
    49       2.094         -50     0.01116   0.0001551 
    50       2.094         -50     0.01092    0.000301 
    51       2.094         -50     0.01068   0.0004384 
  59.5       2.094         -50    0.008632    0.001336 
  64.5       2.094         -50    0.007452    0.001699 
  79.5       2.094         -50    0.004205    0.002346 
  84.5       2.094         -50    0.003251    0.002457 
  99.5       2.094         -50   0.0008112    0.002567 
 104.5       2.094         -50   0.0001332    0.002541 
 119.5       2.094         -50   -0.001544    0.002307 
 124.5       2.094         -50   -0.001996    0.002186 
 139.5       2.094         -50   -0.003075    0.001725 
 144.5       2.094         -50   -0.003348    0.001551 
 159.5       2.094         -50   -0.003913    0.001015 
 164.5       2.094         -50   -0.004019   0.0008451 
 179.5       2.094         -50   -0.004108   0.0004049 
 184.5       2.094         -50   -0.004073   0.0002867 
   199       2.094         -50   -0.003859  1.568e-005 
 199.3       2.094         -50   -0.003854   1.17e-005 
 199.5       2.094         -50   -0.003849  7.737e-006 
   202       2.094         -50           0           0 
 209.5       2.094         -50           0           0 
   212       2.094         -50           0           0 
 219.5       2.094         -50           0           0 
   222       2.094         -50           0           0 
  14.5       2.618         -50           0           0 
    17       2.618         -50           0           0 
  24.5       2.618         -50           0           0 
    27       2.618         -50           0           0 
  34.5       2.618         -50           0           0 
    37       2.618         -50           0           0 
  44.5       2.618         -50           0           0 
    47       2.618         -50           0           0 
    49       2.618         -50     0.01668   0.0002602 
    50       2.618         -50     0.01633    0.000505 
    51       2.618         -50     0.01599   0.0007356 
  59.5       2.618         -50     0.01327    0.002253 
  64.5       2.618         -50     0.01179     0.00288 
  79.5       2.618         -50    0.007781     0.00408 
  84.5       2.618         -50     0.00658     0.00433 
  99.5       2.618         -50     0.00332    0.004783 
 104.5       2.618         -50    0.002327    0.004855 
 119.5       2.618         -50  -0.0004564    0.004868 
 124.5       2.618         -50   -0.001338    0.004807 
 139.5       2.618         -50   -0.003889    0.004424 
 144.5       2.618         -50    -0.00471    0.004226 
 159.5       2.618         -50   -0.007027     0.00341 
 164.5       2.618         -50   -0.007721    0.003064 
 179.5       2.618         -50    -0.00935    0.001838 
 184.5       2.618         -50   -0.009675    0.001386 
   199       2.618         -50    -0.00976  8.422e-005 
 199.3       2.618         -50   -0.009749  6.305e-005 
 199.5       2.618         -50   -0.009738  4.195e-005 
   202       2.618         -50           0           0 
 209.5       2.618         -50           0           0 
   212       2.618         -50           0           0 
 219.5       2.618         -50           0           0 
   222       2.618         -50           0           0 
  14.5       3.142         -50           0           0 
    17       3.142         -50           0           0 
  24.5       3.142         -50           0           0 
    27       3.142         -50           0           0 
  34.5       3.142         -50           0           0 
    37       3.142         -50           0           0 
  44.5       3.142         -50           0           0 
    47       3.142         -50           0           0 
    49       3.142         -50     0.02316   0.0002288 
    50       3.142         -50     0.02269   0.0004439 
    51       3.142         -50     0.02223   0.0006463 
  59.5       3.142         -50     0.01869    0.001963 
  64.5       3.142         -50     0.01684    0.002488 
  79.5       3.142         -50     0.01187    0.003397 
  84.5       3.142         -50     0.01037    0.003546 
  99.5       3.142         -50    0.006113    0.003692 
 104.5       3.142         -50    0.004747     0.00366 
 119.5       3.142         -50   0.0006652     0.00338 
 124.5       3.142         -50  -0.0007154    0.003234 
 139.5       3.142         -50   -0.004965    0.002676 
 144.5       3.142         -50   -0.006408    0.002459 
 159.5       3.142         -50    -0.01067    0.001753 
 164.5       3.142         -50    -0.01199    0.001511 
 179.5       3.142         -50    -0.01521   0.0008098 
 184.5       3.142         -50    -0.01589   0.0005933 
   199       3.142         -50    -0.01623  3.457e-005 
 199.3       3.142         -50    -0.01621  2.589e-005 
 199.5       3.142         -50     -0.0162  1.723e-005 
   202       3.142         -50           0           0 
 209.5       3.142         -50           0           0 
   212       3.142         -50           0           0 
 219.5       3.142         -50           0           0 
   222       3.142         -50           0           0 
  14.5       3.665         -50           0           0 
    17       3.665         -50           0           0 
  24.5       3.665         -50           0           0 
    27       3.665         -50           0           0 
  34.5       3.665         -50           0           0 
    37       3.665         -50           0           0 
  44.5       3.665         -50           0           0 
    47       3.665         -50           0           0 
    49       3.665         -50     0.02769   0.0001255 
    50       3.665         -50     0.02712   0.0002435 
    51       3.665         -50     0.02657   0.0003543 
  59.5       3.665         -50     0.02235    0.001061 
  64.5       3.665         -50     0.02013    0.001326 
  79.5       3.665         -50     0.01418    0.001714 
  84.5       3.665         -50     0.01236    0.001754 
  99.5       3.665         -50    0.007226    0.001729 
 104.5       3.665         -50    0.005578     0.00169 
 119.5       3.665         -50   0.0006739    0.001532 
 124.5       3.665         -50  -0.0009744    0.001471 
 139.5       3.665         -50   -0.006011    0.001276 
 144.5       3.665         -50   -0.007712    0.001205 
 159.5       3.665         -50    -0.01271   0.0009627 
 164.5       3.665         -50    -0.01426   0.0008675 
 179.5       3.665         -50    -0.01803   0.0005295 
 184.5       3.665         -50    -0.01883   0.0004019 
   199       3.665         -50    -0.01922  2.474e-005 
 199.3       3.665         -50     -0.0192  1.854e-005 
 199.5       3.665         -50    -0.01918  1.236e-005 
   202       3.665         -50           0           0 
 209.5       3.665         -50           0           0 
   212       3.665         -50           0           0 
 219.5       3.665         -50           0           0 
   222       3.665         -50           0           0 
  14.5       4.189         -50           0           0 
    17       4.189         -50           0           0 
  24.5       4.189         -50           0           0 
    27       4.189         -50           0           0 
  34.5       4.189         -50           0           0 
    37       4.189         -50           0           0 
  44.5       4.189         -50           0           0 
    47       4.189         -50           0           0 
    49       4.189         -50     0.02975  4.637e-005 
    50       4.189         -50     0.02914  8.981e-005 
    51       4.189         -50     0.02854   0.0001304 
  59.5       4.189         -50     0.02389    0.000373 
  64.5       4.189         -50      0.0214   0.0004434 
  79.5       4.189         -50     0.01471   0.0004338 
  84.5       4.189         -50     0.01268   0.0003799 
  99.5       4.189         -50    0.007029   0.0001379 
 104.5       4.189         -50     0.00526  4.349e-005 
 119.5       4.189         -50   0.0001422   -0.000237 
 124.5       4.189         -50   -0.001532  -0.0003211 
 139.5       4.189         -50   -0.006546  -0.0005148 
 144.5       4.189         -50   -0.008218  -0.0005538 
 159.5       4.189         -50    -0.01312  -0.0005754 
 164.5       4.189         -50    -0.01465  -0.0005485 
 179.5       4.189         -50    -0.01841   -0.000372 
 184.5       4.189         -50    -0.01922  -0.0002878 
   199       4.189         -50    -0.01961 -1.808e-005 
 199.3       4.189         -50    -0.01959 -1.354e-005 
 199.5       4.189         -50    -0.01957 -9.009e-006 
   202       4.189         -50           0           0 
 209.5       4.189         -50           0           0 
   212       4.189         -50           0           0 
 219.5       4.189         -50           0           0 
   222       4.189         -50           0           0 
  14.5       4.712         -50           0           0 
    17       4.712         -50           0           0 
  24.5       4.712         -50           0           0 
    27       4.712         -50           0           0 
  34.5       4.712         -50           0           0 
    37       4.712         -50           0           0 
  44.5       4.712         -50           0           0 
    47       4.712         -50           0           0 
    49       4.712         -50     0.03059   2.77e-005 
    50       4.712         -50     0.02996  5.371e-005 
    51       4.712         -50     0.02934   7.81e-005 
  59.5       4.712         -50     0.02444   0.0002298 
  64.5       4.712         -50     0.02178   0.0002809 
  79.5       4.712         -50     0.01452   0.0003127 
  84.5       4.712         -50      0.0123    0.000293 
  99.5       4.712         -50     0.00617   0.0001755 
 104.5       4.712         -50    0.004278   0.0001235 
 119.5       4.712         -50   -0.001045 -4.684e-005 
 124.5       4.712         -50   -0.002719  -0.0001028 
 139.5       4.712         -50   -0.007479  -0.0002454 
 144.5       4.712         -50   -0.008974  -0.0002795 
 159.5       4.712         -50    -0.01308   -0.000323 
 164.5       4.712         -50    -0.01428  -0.0003151 
 179.5       4.712         -50      -0.017  -0.0002237 
 184.5       4.712         -50    -0.01752  -0.0001746 
   199       4.712         -50    -0.01758 -1.112e-005 
 199.3       4.712         -50    -0.01756 -8.329e-006 
 199.5       4.712         -50    -0.01754 -5.551e-006 
   202       4.712         -50           0           0 
 209.5       4.712         -50           0           0 
   212       4.712         -50           0           0 
 219.5       4.712         -50           0           0 
   222       4.712         -50           0           0 
  14.5       5.236         -50           0           0 
    17       5.236         -50           0           0 
  24.5       5.236         -50           0           0 
    27       5.236         -50           0           0 
  34.5       5.236         -50           0           0 
    37       5.236         -50           0           0 
  44.5       5.236         -50           0           0 
    47       5.236         -50           0           0 
    49       5.236         -50     0.03109  9.858e-007 
    50       5.236         -50     0.03045  2.021e-006 
    51       5.236         -50     0.02983  3.194e-006 
  59.5       5.236         -50     0.02489  2.526e-005 
  64.5       5.236         -50     0.02222  5.054e-005 
  79.5       5.236         -50     0.01491   0.0001701 
  84.5       5.236         -50     0.01266   0.0002195 
  99.5       5.236         -50    0.006432   0.0003782 
 104.5       5.236         -50    0.004498    0.000431 
 119.5       5.236         -50  -0.0009652   0.0005745 
 124.5       5.236         -50   -0.002692   0.0006137 
 139.5       5.236         -50   -0.007618   0.0006884 
 144.5       5.236         -50   -0.009168   0.0006947 
 159.5       5.236         -50    -0.01343   0.0006416 
 164.5       5.236         -50    -0.01467   0.0005974 
 179.5       5.236         -50    -0.01748   0.0003881 
 184.5       5.236         -50    -0.01802   0.0002979 
   199       5.236         -50    -0.01807  1.856e-005 
 199.3       5.236         -50    -0.01805  1.391e-005 
 199.5       5.236         -50    -0.01802  9.269e-006 
   202       5.236         -50           0           0 
 209.5       5.236         -50           0           0 
   212       5.236         -50           0           0 
 219.5       5.236         -50           0           0 
   222       5.236         -50           0           0 
  14.5        5.76         -50           0           0 
    17        5.76         -50           0           0 
  24.5        5.76         -50           0           0 
    27        5.76         -50           0           0 
  34.5        5.76         -50           0           0 
    37        5.76         -50           0           0 
  44.5        5.76         -50           0           0 
    47        5.76         -50           0           0 
    49        5.76         -50      0.0299  -0.0001079 
    50        5.76         -50     0.02928  -0.0002093 
    51        5.76         -50     0.02869  -0.0003046 
  59.5        5.76         -50     0.02402  -0.0009157 
  64.5        5.76         -50     0.02152    -0.00115 
  79.5        5.76         -50     0.01467   -0.001517 
  84.5        5.76         -50     0.01258   -0.001566 
  99.5        5.76         -50    0.006741   -0.001579 
 104.5        5.76         -50    0.004924   -0.001551 
 119.5        5.76         -50  -0.0002599   -0.001405 
 124.5        5.76         -50   -0.001924    -0.00134 
 139.5        5.76         -50    -0.00681   -0.001108 
 144.5        5.76         -50   -0.008408   -0.001021 
 159.5        5.76         -50    -0.01304  -0.0007418 
 164.5        5.76         -50    -0.01447  -0.0006449 
 179.5        5.76         -50    -0.01796  -0.0003556 
 184.5        5.76         -50     -0.0187  -0.0002628 
   199        5.76         -50    -0.01904 -1.555e-005 
 199.3        5.76         -50    -0.01902 -1.166e-005 
 199.5        5.76         -50      -0.019 -7.773e-006 
   202        5.76         -50           0           0 
 209.5        5.76         -50           0           0 
   212        5.76         -50           0           0 
 219.5        5.76         -50           0           0 
   222        5.76         -50           0           0 
  14.5           0         -40           0           0 
    17           0         -40           0           0 
  24.5           0         -40           0           0 
    27           0         -40           0           0 
  34.5           0         -40           0           0 
    37           0         -40           0           0 
  44.5           0         -40           0           0 
    47           0         -40           0           0 
    49           0         -40     0.03209  -0.0002952 
    50           0         -40     0.03143  -0.0005728 
    51           0         -40     0.03077  -0.0008341 
  59.5           0         -40     0.02556   -0.002534 
  64.5           0         -40     0.02269   -0.003213 
  79.5           0         -40     0.01489   -0.004399 
  84.5           0         -40     0.01256   -0.004603 
  99.5           0         -40    0.006295   -0.004852 
 104.5           0         -40    0.004407   -0.004842 
 119.5           0         -40   -0.000832   -0.004603 
 124.5           0         -40   -0.002476   -0.004464 
 139.5           0         -40   -0.007226   -0.003893 
 144.5           0         -40   -0.008765   -0.003656 
 159.5           0         -40    -0.01323   -0.002819 
 164.5           0         -40    -0.01462   -0.002501 
 179.5           0         -40    -0.01814   -0.001459 
 184.5           0         -40    -0.01892   -0.001094 
   199           0         -40    -0.01935  -6.61e-005 
 199.3           0         -40    -0.01933 -4.951e-005 
 199.5           0         -40    -0.01931 -3.297e-005 
   202           0         -40           0           0 
 209.5           0         -40           0           0 
   212           0         -40           0           0 
 219.5           0         -40           0           0 
   222           0         -40           0           0 
  14.5      0.5236         -40           0           0 
    17      0.5236         -40           0           0 
  24.5      0.5236         -40           0           0 
    27      0.5236         -40           0           0 
  34.5      0.5236         -40           0           0 
    37      0.5236         -40           0           0 
  44.5      0.5236         -40           0           0 
    47      0.5236         -40           0           0 
    49      0.5236         -40      0.0234  -0.0003646 
    50      0.5236         -40      0.0229  -0.0007076 
    51      0.5236         -40     0.02241    -0.00103 
  59.5      0.5236         -40     0.01836   -0.003143 
  64.5      0.5236         -40     0.01606      -0.004 
  79.5      0.5236         -40    0.009773   -0.005559 
  84.5      0.5236         -40    0.007928   -0.005851 
  99.5      0.5236         -40    0.003178   -0.006284 
 104.5      0.5236         -40    0.001835   -0.006311 
 119.5      0.5236         -40   -0.001613   -0.006114 
 124.5      0.5236         -40   -0.002608   -0.005964 
 139.5      0.5236         -40   -0.005289   -0.005281 
 144.5      0.5236         -40    -0.00612   -0.004979 
 159.5      0.5236         -40   -0.008539   -0.003865 
 164.5      0.5236         -40   -0.009329   -0.003432 
 179.5      0.5236         -40    -0.01148      -0.002 
 184.5      0.5236         -40      -0.012   -0.001498 
   199      0.5236         -40    -0.01236 -9.013e-005 
 199.3      0.5236         -40    -0.01234 -6.747e-005 
 199.5      0.5236         -40    -0.01233 -4.488e-005 
   202      0.5236         -40           0           0 
 209.5      0.5236         -40           0           0 
   212      0.5236         -40           0           0 
 219.5      0.5236         -40           0           0 
   222      0.5236         -40           0           0 
  14.5       1.047         -40           0           0 
    17       1.047         -40           0           0 
  24.5       1.047         -40           0           0 
    27       1.047         -40           0           0 
  34.5       1.047         -40           0           0 
    37       1.047         -40           0           0 
  44.5       1.047         -40           0           0 
    47       1.047         -40           0           0 
    49       1.047         -40     0.01519  -0.0002487 
    50       1.047         -40     0.01486  -0.0004825 
    51       1.047         -40     0.01452  -0.0007026 
  59.5       1.047         -40     0.01152   -0.002133 
  64.5       1.047         -40    0.009727   -0.002703 
  79.5       1.047         -40    0.004693   -0.003681 
  84.5       1.047         -40    0.003226   -0.003842 
  99.5       1.047         -40  -0.0004097   -0.004018 
 104.5       1.047         -40   -0.001366      -0.004 
 119.5       1.047         -40   -0.003516   -0.003787 
 124.5       1.047         -40   -0.004005   -0.003673 
 139.5       1.047         -40   -0.004831   -0.003219 
 144.5       1.047         -40   -0.004902   -0.003034 
 159.5       1.047         -40   -0.004561   -0.002377 
 164.5       1.047         -40   -0.004287   -0.002123 
 179.5       1.047         -40   -0.003186   -0.001264 
 184.5       1.047         -40   -0.002814  -0.0009536 
   199       1.047         -40   -0.002142 -5.789e-005 
 199.3       1.047         -40   -0.002138 -4.331e-005 
 199.5       1.047         -40   -0.002135 -2.877e-005 
   202       1.047         -40           0           0 
 209.5       1.047         -40           0           0 
   212       1.047         -40           0           0 
 219.5       1.047         -40           0           0 
   222       1.047         -40           0           0 
  14.5       1.571         -40           0           0 
    17       1.571         -40           0           0 
  24.5       1.571         -40           0           0 
    27       1.571         -40           0           0 
  34.5       1.571         -40           0           0 
    37       1.571         -40           0           0 
  44.5       1.571         -40           0           0 
    47       1.571         -40           0           0 
    49       1.571         -40     0.01173 -2.112e-005 
    50       1.571         -40     0.01147 -4.087e-005 
    51       1.571         -40     0.01121 -5.924e-005 
  59.5       1.571         -40    0.008798  -0.0001612 
  64.5       1.571         -40    0.007346  -0.0001791 
  79.5       1.571         -40    0.003373 -8.302e-005 
  84.5       1.571         -40    0.002264 -1.206e-005 
  99.5       1.571         -40  -0.0003088   0.0002751 
 104.5       1.571         -40  -0.0009261   0.0003864 
 119.5       1.571         -40   -0.002167   0.0007292 
 124.5       1.571         -40   -0.002411   0.0008372 
 139.5       1.571         -40   -0.002795    0.001099 
 144.5       1.571         -40   -0.002847    0.001154 
 159.5       1.571         -40   -0.002951    0.001178 
 164.5       1.571         -40   -0.003002    0.001128 
 179.5       1.571         -40   -0.003253   0.0007849 
 184.5       1.571         -40   -0.003344   0.0006128 
   199       1.571         -40   -0.003395  3.913e-005 
 199.3       1.571         -40   -0.003391  2.931e-005 
 199.5       1.571         -40   -0.003388  1.953e-005 
   202       1.571         -40           0           0 
 209.5       1.571         -40           0           0 
   212       1.571         -40           0           0 
 219.5       1.571         -40           0           0 
   222       1.571         -40           0           0 
  14.5       2.094         -40           0           0 
    17       2.094         -40           0           0 
  24.5       2.094         -40           0           0 
    27       2.094         -40           0           0 
  34.5       2.094         -40           0           0 
    37       2.094         -40           0           0 
  44.5       2.094         -40           0           0 
    47       2.094         -40           0           0 
    49       2.094         -40     0.01391   0.0001871 
    50       2.094         -40     0.01361    0.000363 
    51       2.094         -40      0.0133   0.0005286 
  59.5       2.094         -40     0.01067    0.001612 
  64.5       2.094         -40    0.009131    0.002051 
  79.5       2.094         -40    0.004944    0.002839 
  84.5       2.094         -40    0.003745    0.002977 
  99.5       2.094         -40   0.0007677    0.003116 
 104.5       2.094         -40 -3.705e-005    0.003084 
 119.5       2.094         -40   -0.001993    0.002792 
 124.5       2.094         -40   -0.002515    0.002637 
 139.5       2.094         -40   -0.003757    0.002043 
 144.5       2.094         -40   -0.004071    0.001816 
 159.5       2.094         -40   -0.004713    0.001119 
 164.5       2.094         -40   -0.004823   0.0009025 
 179.5       2.094         -40   -0.004849   0.0003751 
 184.5       2.094         -40   -0.004773   0.0002506 
   199       2.094         -40   -0.004459  1.214e-005 
 199.3       2.094         -40   -0.004453  9.031e-006 
 199.5       2.094         -40   -0.004448  5.933e-006 
   202       2.094         -40           0           0 
 209.5       2.094         -40           0           0 
   212       2.094         -40           0           0 
 219.5       2.094         -40           0           0 
   222       2.094         -40           0           0 
  14.5       2.618         -40           0           0 
    17       2.618         -40           0           0 
  24.5       2.618         -40           0           0 
    27       2.618         -40           0           0 
  34.5       2.618         -40           0           0 
    37       2.618         -40           0           0 
  44.5       2.618         -40           0           0 
    47       2.618         -40           0           0 
    49       2.618         -40     0.02066   0.0003211 
    50       2.618         -40     0.02023   0.0006231 
    51       2.618         -40      0.0198   0.0009076 
  59.5       2.618         -40     0.01635    0.002781 
  64.5       2.618         -40     0.01446    0.003558 
  79.5       2.618         -40    0.009407    0.005063 
  84.5       2.618         -40    0.007933    0.005384 
  99.5       2.618         -40    0.004046    0.006006 
 104.5       2.618         -40    0.002888    0.006122 
 119.5       2.618         -40  -0.0003367    0.006237 
 124.5       2.618         -40   -0.001364      0.0062 
 139.5       2.618         -40   -0.004406     0.00584 
 144.5       2.618         -40   -0.005418    0.005629 
 159.5       2.618         -40   -0.008419    0.004683 
 164.5       2.618         -40   -0.009375    0.004254 
 179.5       2.618         -40    -0.01181    0.002635 
 184.5       2.618         -40    -0.01236    0.002005 
   199       2.618         -40     -0.0127   0.0001235 
 199.3       2.618         -40    -0.01268  9.246e-005 
 199.5       2.618         -40    -0.01267  6.152e-005 
   202       2.618         -40           0           0 
 209.5       2.618         -40           0           0 
   212       2.618         -40           0           0 
 219.5       2.618         -40           0           0 
   222       2.618         -40           0           0 
  14.5       3.142         -40           0           0 
    17       3.142         -40           0           0 
  24.5       3.142         -40           0           0 
    27       3.142         -40           0           0 
  34.5       3.142         -40           0           0 
    37       3.142         -40           0           0 
  44.5       3.142         -40           0           0 
    47       3.142         -40           0           0 
    49       3.142         -40     0.02867   0.0002825 
    50       3.142         -40     0.02808   0.0005482 
    51       3.142         -40     0.02751   0.0007982 
  59.5       3.142         -40     0.02306    0.002423 
  64.5       3.142         -40     0.02071     0.00307 
  79.5       3.142         -40     0.01452    0.004187 
  84.5       3.142         -40      0.0127     0.00437 
  99.5       3.142         -40    0.007678    0.004552 
 104.5       3.142         -40    0.006094    0.004515 
 119.5       3.142         -40    0.001356    0.004175 
 124.5       3.142         -40  -0.0002689    0.003997 
 139.5       3.142         -40   -0.005413    0.003305 
 144.5       3.142         -40   -0.007225    0.003032 
 159.5       3.142         -40    -0.01284    0.002144 
 164.5       3.142         -40     -0.0147    0.001839 
